,Actor
0,Chevy Chase
1,Judd Apatow
2,Henry Beard
3,PJ O’Rourke
4,Rajeev Khandelwal
5,Samiksha Singh
6,S.M. Zaheer
7,Vikram Gokhale
8,Meenakshi Sethi
9,Atul Kulkarni
10,Abhimanyu Singh
11,Aniruddha Dave
12,Vikalp Mehta
13,Sandeep Sharma
14,Nishant Kumar
15,Vivaan Sharma
16,Jai Roop Jeevan
17,Trishna Singh
18,Ruchita Sharma
19,Jaishree Nagriwal
20,Amit Sharma
21,Rocky
22,Narendra Arora
23,Harinarayan
24,Fahim Anwar
25,None
26,Robert Krantz
27,Patricia Skeriotis
28,Robert Costanzo
29,Columbus Short
30,Erica Peeples
31,Vivica A. Fox
32,Andra Fuller
33,Jamaar Simon
34,Starletta DuPois
35,Nelsan Ellis
36,Draya Michele
37,Nafessa Williams
38,Jennifer Freeman
39,Lisa Renee Pitts
40,Patty Duke
41,Richard Crenna
42,Katy Boyer
43,Missy Crider
44,Jon Gries
45,Liza Snyder
46,Sean Bridgers
47,Christopher Berry
48,Nick Searcy
49,Sonny Shroyer
50,Nonso Diobi
51,Mike Ezuruonye
52,Mercy Aigbe
53,Rex Nosa
54,Annie Macaulay Idibia
55,Ik Ogbonna
56,Nedu Wazobia
57,Uzee Usman
58,Odunlade Adekola
59,Mr Jollof
60,Efe Irele
61,Josh 2 Funny
62,Haillie Sumney
63,Emmanuella
64,MC Lively
65,Diana Silvers
66,Kristine Froseth
67,Jacqueline Bisset
68,Oliver Reed
69,Elke Sommer
70,Garret Morris
71,Valerio Mastandrea
72,Riccardo Scamarcio
73,Laura Chiatti
74,Valentina Cervi
75,Marina Foïs
76,Euridice Axen
77,Massimiliano Gallo
78,Alessia Giuliani
79,Tôru Furuya
80,Hirotaka Suzuoki
81,Kouichi Hashimoto
82,Anna Benn
83,Sunny Wayne
84,Mallika Sukumaran
85,Mark Chao
86,Feng Shaofeng
87,Kenny Lin
88,Carina Lau
89,Ethan Juan
90,Sandra Ma
91,Johnny Depp
92,Rebecca Hall
93,Morgan Freeman
94,Paul Bettany
95,Cillian Murphy
96,Kate Mara
97,Cole Hauser
98,Clifton Collins Jr.
99,Rishab Shetty
100,Kishore
101,Haripriya
102,Raj B Shetty
103,Avinash
104,Yagna Shetty
105,Prakash Belawadi
106,Balaji Manohar
107,Pramod Shetty
108,Sowmya Jagannmurthy
109,Lindsey Morgan
110,Jonathan Howard
111,Daniel Bernhardt
112,Rhona Mitra
113,James Cosmo
114,Yayan Ruhian
115,Alexander Siddig
116,Cha-Lee Yoon
117,Ieva Andrejevaite
118,Jeremy Fitzgerald
119,Penélope Cruz
120,Franka Potente
121,Rachel Griffiths
122,Paul Reubens
123,Jordi Mollà
124,Cliff Curtis
125,Miguel Sandoval
126,Ethan Suplee
127,Ray Liotta
128,Adam Sandler
129,Winona Ryder
130,Peter Gallagher
131,Jared Harris
132,Allen Covert
133,Erick Avari
134,John Turturro
135,Peter Dante
136,Conchata Ferrell
137,Steve Buscemi
138,Hakim Faris
139,Victoire Du Bois
140,Patrick d'Assumçao
141,Dev Patel
142,Alia Shawkat
143,George Wendt
144,Tess Cline
145,Monica Perez
146,Kate St. Clair
147,Alyona Real
148,David Roland Strong
149,Fran Williams
150,Mallika Sherawat
151,Ranvir Shorey
152,Tinnu Anand
153,Sushmita Mukherjee
154,Manish Anand
155,Vihang Nayak
156,Bharati Achrekar
157,Zeenat Aman
158,Buster Crabbe
159,Mischa Auer
160,Julie Bishop
161,E. Alyn Warren
162,Philo McCullough
163,Matthew Betz
164,Harrison Chad
165,George Carlin
166,Brad Garrett
167,Ron Perlman
168,Estelle Harris
169,Glenn Close
170,Jean Parker
171,Russell Hayden
172,Raymond Hatton
173,Pamela Blake
174,Buzz Henry
175,Eric Meyers
176,Richard Gere
177,Don Cheadle
178,Ethan Hawke
179,Wesley Snipes
180,Will Patton
181,Lili Taylor
182,Michael Kenneth Williams
183,Brían F. O'Byrne
184,Shannon Kane
185,Ellen Barkin
186,Vincent D'Onofrio
187,Logan Marshall-Green
188,Ajay Devgn
189,Tusshar Kapoor
190,Arshad Warsi
191,Sharman Joshi
192,Paresh Rawal
193,Rimi Sen
194,Vrajesh Hirjee
195,Bruce Greenwood
196,Eric Balfour
197,Michael Rooker
198,Deborah Valente
199,Conrad Coates
200,Tom Hooker
201,Stefano Zandri
202,Ethan McDowell
203,Morgan Obenreder
204,Joshua Marble
205,Charlie Gillette
206,Toru Furuya
207,Shuichi Ikeda
208,Rumiko Ukai
209,Fuyumi Shiraishi
210,Yo Inoue
211,Toshio Furukawa
212,Kiyonobu Suzuki
213,Keiko Toda
214,Shozo Iizuka
215,Max Lloyd-Jones
216,James Willson
217,Samantha Burton
218,Brett Kelly
219,James Earl Jones
220,Cole Evan Weiss
221,Lucky Ali
222,Simone Singh
223,Achint Kaur
224,Ehsan Khan
225,Harsh Vasisht
226,Yashodhan Bal
227,Gauri Karnik
228,Divya Dutta
229,Arjun Rampal
230,Chitrangada Singh
231,Deepti Naval
232,Kanwaljeet Singh
233,Rehana Sultan
234,Vipin Sharma
235,Kaizaad Kotwal
236,Sujata Sehgal
237,Shivani Tanksale
238,Asheesh Kapur
239,Darshan
240,Sanah Thimmayyah
241,Yashas Surya
242,Dominic Cooper
243,Austin Stowell
244,Gemma Chan
245,Connie Nielsen
246,Sam Jaeger
247,Sarah Manninen
248,Robert Pattinson
249,Benny Safdie
250,Jennifer Jason Leigh
251,Barkhad Abdi
252,Buddy Duress
253,Peter Verby
254,Taliah Webster
255,Necro
256,Tom Berenger
257,William McNamara
258,Erika Eleniak
259,Crispin Glover
260,Meredith Salenger
261,John Cusack
262,Ray Wise
263,Lainie Kazan
264,Scatman Crothers
265,Barry Miller
266,Donnie Yen
267,Jaycee Chan
268,Charlene Choi
269,Gillian Chung
270,Wilson Chen Bo-Lin
271,Tony Leung Ka Fai
272,Qu Ying
273,Fan Bingbing
274,Xie Jing-jing
275,Daniel Wu
276,Edison Chen
277,Jackie Chan
278,Amit Sadh
279,Randeep Hooda
280,Salman Khan
281,Kunal Kohli
282,Jennifer Winget
283,Sumona Chakravarti
284,Kanwaljit Singh
285,Dalip Tahil
286,Rajit Kapoor
287,Siddharth
288,Amala Paul
289,Ravi Raghavendra
290,Sri Ranjani
291,Emily Blunt
292,Lin-Manuel Miranda
293,Ben Whishaw
294,Emily Mortimer
295,Pixie Davies
296,Nathanael Saleh
297,Joel Dawson
298,Julie Walters
299,Meryl Streep
300,Colin Firth
301,Dick Van Dyke
302,Ed Kear
303,David Menkin
304,Ina Marie Smith
305,John Guerrasio
306,David Rintoul
307,Gavin Peter
308,Lucy Montgomery
309,Florrie Wilkinson
310,Adam Neill
311,Jason Pennycooke
312,Christia Visser
313,Alison Botha
314,Zak Hendrikz
315,Francois Maree
316,De Klerk Oelofse
317,Tendaiishe Chitima
318,Tendai Nguni
319,Jesese Mungoshi
320,Eddie Sandifolo
321,Charmaine Mujeri
322,Kudzai Sevenzo
323,Fungai Majaya
324,Eugene Zimbudzi
325,Chimwemwe Chipidza
326,Kevin Hanssen
327,Zihlo
328,Michael Kudakwashe
329,Kendall Schmidt
330,James Maslow
331,Carlos PenaVega
332,Logan Henderson
333,Ciara Bravo
334,Challen Cates
335,Tanya Chisholm
336,Stephen Kramer Glickman
337,Trevor Devall
338,Christopher Shyer
339,Rinku Rajguru
340,Shubhankar Tawde
341,Shashank Shende
342,Suhas Palshikar
343,Bharati Patil
344,Milind Pathak
345,Umesh Jagtap
346,Shantanu Gangane
347,Vitthal Kale
348,Mahesh Bhosale
349,Kangana Ranaut
350,Arvind Swamy
351,Nassar
352,Katherine Heigl
353,Ben Barnes
354,Clea DuVall
355,Robert Duvall
356,Lucas Black
357,Melissa Leo
358,Deborah Ann Woll
359,Madison Burge
360,Julia Roberts
361,Lily Collins
362,Armie Hammer
363,Nathan Lane
364,Mare Winningham
365,Michael Lerner
366,Sean Bean
367,Robert Emms
368,Danny Woodburn
369,Martin Klebba
370,Sebastian Saraceno
371,Jordan Prentice
372,Mark Povinelli
373,Joe Gnoffo
374,Ronald Lee Clark
375,Amitabh Bachchan
376,Nawazuddin Siddiqui
377,Vidya Balan
378,Mukesh Chhabra
379,Sabyasachi Chakraborty
380,Tota Roy Chowdhury
381,Padmavati Rao
382,Suneel Sinha
383,Brooke Nevin
384,Sally Ann Brooks
385,David Paetkau
386,Torrey DeVitto
387,Ben Easter
388,Don Shanks
389,Graham Greene
390,Tantoo Cardinal
391,Adam Beach
392,Tom Jackson
393,Maggie Smith
394,Natasha Richardson
395,Richard E. Grant
396,Rob Lowe
397,Billy Chow
398,Wu Ma
399,Rajinikanth
400,Gautami
401,Raghuvaran
402,Ravichandran
403,Shalini
404,Chinni Jayanth
405,Henry Paulson
406,Wendy Paulson
407,Sandra Oh
408,Anne Heche
409,Alicia Silverstone
410,Amy Hill
411,Myra Lucretia Taylor
412,Ariel Kavoussi
413,Damian Young
414,Stephen Gevedon
415,Giullian Yao Gioiello
416,Tituss Burgess
417,Valerie Bertinelli
418,Jeffrey Nordling
419,Britt Irvin
420,Michael Welch
421,Ross Malinger
422,Andrea Roth
423,Donnelly Rhodes
424,Emily Tennant
425,Keifer Sykes
426,Louis Koo
427,Wei Zhao
428,Wallace Chung
429,Patrick Swayze
430,John Leguizamo
431,Stockard Channing
432,Blythe Danner
433,Arliss Howard
434,Jason London
435,Chris Penn
436,Melinda Dillon
437,Beth Grant
438,Alice Drummond
439,Marceline Hugot
440,Michael Vartan
441,RuPaul Charles
442,Julie Newmar
443,Lee Grant
444,Ben Gazzara
445,Barbora Bobulova
446,Gabriel Olds
447,Irina Kupchenko
448,Diane Keaton
449,Jessica Lange
450,Sissy Spacek
451,Sam Shepard
452,Tess Harper
453,David Carpenter
454,Hurd Hatfield
455,Beeson Carroll
456,Jean Willard
457,Tom Mason
458,Gregory Eugene Travis
459,Annie McKnight
460,Eleanor Eagle
461,Jessica Ezzell
462,Natalie Anderson
463,Vatsal Dubey
464,Julie Tejwani
465,Rupa Bhimani
466,Jigna Bhardwaj
467,Rajesh Kava
468,Mousam
469,Swapnil
470,Nobuhiro Kajima
471,Miyuki Akiyama
472,Christopher Murphy
473,Kurt Russell
474,James Spader
475,Jaye Davidson
476,Viveca Lindfors
477,John Diehl
478,Thomas Middleditch
479,Adam Pally
480,Alex Ross Perry
481,Nick Kroll
482,Brett Gelman
483,Jenny Slate
484,Lauren Graham
485,Aubrey Plaza
486,Alison Brie
487,Jerry Chesser
488,Jezibell Anat
489,Russell Dobson
490,Eddie Rodgers
491,Daniel Dobson
492,Criselle Quinn
493,Pontri Bernardo
494,Cris Pastor
495,Patrick Patawaran
496,Alyssa Lescano
497,Brooke Shields
498,John Rhys-Davies
499,Horst Buchholz
500,Celia Imrie
501,Emily Watson
502,Catherine Tate
503,Jason Isaacs
504,Nick Frost
505,Jessica Brown Findlay
506,Isaac
507,Phan Ngan
508,Chi Tai
509,Tia Mowry
510,Jonathan Moore
511,Andy Gala
512,Megan Duffy
513,Jason Rogel
514,Tammy Townsend
515,Noomi Rapace
516,Sophie Nélisse
517,Indira Varma
518,George Georgiou
519,Christopher Sciueref
520,Eoin Macken
521,Jason Robards
522,Talia Shire
523,R.H. Thomson
524,Fiona Reid
525,Chris Wiggins
526,Amy Stewart
527,SAMYUKTHA MENON
528,JOJU GEORGE
529,INDRAJITH
530,PARVATHY THIRUVOTHU
531,ASIF ALI
532,DARSHANA RAJENDRAN
533,ROSHAN MATHEW
534,NEDUMUDI VENU
535,KAVIYOOR PONNAMMA
536,BASIL JOSEPH
537,MANIKANDAN PATTAMBI
538,SWETHA MENON
539,VINEETH VISHWAM
540,PRATHAPAN
541,VASUDEVAN R VARMA
542,SREEJA
543,E RAJENDRAN
544,SATHIDEVI
545,JOHN K PAUL
546,HAREESH PENGAN
547,RANJINI CHANDY
548,NOUSHAD SHAHUL
549,RAJEEV KUNJU KUNJU
550,RAMESH KOTTAYAM
551,SHAJI MAARADU
552,FRANCO FRANCIS
553,VINOD KEDAMANGALAM
554,SUNNY VAGAMON
555,MOHITA BIJULAL
556,BENNY P NAYARAMBALAM
557,INDIAN PALLASSERY
558,Deon Cole
559,Hairul Azreen
560,Janna Nick
561,Amerul Affendi
562,Henley Hii
563,Nam Ron
564,Theebaan Govindasamy
565,Taufiq Hanafi
566,Hafizul Kamal
567,Josiah Hogan
568,Sophia Albarakbah
569,Sugeeta Chandran
570,Anna Jobling
571,Fulu Mugovhani
572,Tumi Morake
573,Bohang Moeko
574,Yonda Thomas
575,Sylvester Stallone
576,Burt Young
577,Carl Weathers
578,Dolph Lundgren
579,Brigitte Nielsen
580,Tony Burton
581,Michael Pataki
582,Disha Patani
583,Amyra Dastur
584,Sonu Sood
585,Aarif Rahman
586,Miya Muqi
587,Zhang Yixing
588,Eric Tsang
589,Ashley Martin
590,Austin Michael Scott
591,Heidi Kramer
592,Pickles Moss
593,Alissa Kramer
594,Melissa Fosse-Dunne
595,French Stewart
596,Danielle Lozeau
597,Richard Cutting
598,Manuel Poblete
599,Daniel Ross
600,Leanna Chamish
601,Lauren Lakis
602,Jim Cummings
603,Peter Cullen
604,John Fiedler
605,Michael Gough
606,William Green
607,Nikita Hopkins
608,Anthony Gonzalez
609,Gael Bernal
610,Benjamin Bratt
611,Alanna Ubach
612,Renée Victor
613,Jaime Camil
614,Josh Stewart
615,Bojana Novakovic
616,Melissa Bolona
617,Harvey Keitel
618,Jason Salkey
619,Peter O'Toole
620,Anna Chancellor
621,Richard Epcar
622,Linus Roach
623,Tom Wilkinson
624,Cathy Tyson
625,Robert Carlyle
626,Mithun Chakraborty
627,Naseeruddin Shah
628,Irina Kushnareva
629,Varsha Usgaonkar
630,Gulshan Grover
631,Anjana Mumtaz
632,Amrish Puri
633,Amrit Pal
634,Achyut Potdar
635,Lilliput
636,Tasha Smith
637,RonReaco Lee
638,Telma Hopkins
639,Sydney Elise Johnson
640,Sean Dominic
641,Dustin Harnish
642,Paul Logan
643,Kearia Schroeder
644,Michael Toland
645,Anton Peeples
646,Francis Chun-Yu Ng
647,Anita Yuen
648,Tat-Ming Cheung
649,Jocelyn Choi
650,Ng Siu-hin
651,Lam Suet
652,Anthony Wong Chau-Sang
653,Lo Hoi-pang
654,Priyanka Chopra
655,Neil Nitin Mukesh
656,John Abraham
657,Irrfan Khan
658,Aleksandr Dyachenko
659,Annu Kapoor
660,Vivaan Shah
661,Usha Uthup
662,Konkona Sen Sharma
663,Sachin Khedekar
664,Ashwini Bhave
665,Mahesh Manjrekar
666,Hrishikesh Joshi
667,Satish Alekar
668,Sunil Tawde
669,Pushkar Shrotri
670,Anand Ingle
671,Debra Winger
672,Dennis Quaid
673,M. Emmet Walsh
674,Jim Varney
675,Jim Belushi
676,Juno Temple
677,Justin Timberlake
678,Kate Winslet
679,Max Casella
680,Harbhajan Mann
681,Manpneet Grewal
682,Ashish Duggal
683,Girja Shankar
684,Shavinder Mahal
685,Rupinder Roopi
686,Anita Meet
687,Tarsem Paul
688,Balkaran Wadding
689,Bobby Sandhu
690,Charlize Theron
691,Patton Oswalt
692,Patrick Wilson
693,Elizabeth Reaser
694,Jill Eikenberry
695,Mary Beth Hurt
696,Collette Wolfe
697,Richard Bekins
698,Kate Nowlin
699,Cassandra Ciangherotti
700,Gabriela de la Garza
701,Irán Castillo
702,Sophie Alexander-Katz
703,Flor Eduarda Gurrola
704,Mariana Cabrera
705,Juan Pablo Medina
706,Pablo Cruz Guerrero
707,Diana Bovio
708,Andrés Almeida
709,Carl Boenish
710,Jean Boenish
711,John Long
